id,name_first,name_middle,name_last,political_affiliations,race,position_url,position_type,job_title,sector,organization,date_nominated,date_start,date_termination,court_resource_url,court_id,court_short_name,court_full_name,court_url
9009,Frank,W.,Volk,,,https://www.courtlistener.com/api/rest/v3/positions/52636/,jud,,,,2019-04-02,2019-10-17,,https://www.courtlistener.com/api/rest/v3/courts/wvsd/,wvsd,S.D. West Virginia,"District Court, S.D. West Virginia",http://www.wvsd.uscourts.gov/
9009,Frank,W.,Volk,,,https://www.courtlistener.com/api/rest/v3/positions/35007/,jud,,,,2019-04-02,2019-10-17,,https://www.courtlistener.com/api/rest/v3/courts/wvsd/,wvsd,S.D. West Virginia,"District Court, S.D. West Virginia",http://www.wvsd.uscourts.gov/
16233,Tracy,,Staab,,,https://www.courtlistener.com/api/rest/v3/positions/52635/,jud,,,,2021-01-11,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16232,Rebecca,,Pennell,,,https://www.courtlistener.com/api/rest/v3/positions/52634/,jud,,,,2016-01-19,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16231,Bernard,F,Veljacic,,,https://www.courtlistener.com/api/rest/v3/positions/52633/,jud,,,,2020-12-08,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16230,Meng,Li,Che,,,https://www.courtlistener.com/api/rest/v3/positions/52632/,jud,,,,,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16229,Rebecca,,Glasgow,,,https://www.courtlistener.com/api/rest/v3/positions/52631/,jud,,,,2018-01-14,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16228,Anne,,Cruser,,,https://www.courtlistener.com/api/rest/v3/positions/52630/,jud,,,,2019-03-08,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16227,Ian,S,Birk,,,https://www.courtlistener.com/api/rest/v3/positions/52629/,jud,,,,2022-04-13,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
16226,Janet,S,Chung,,,https://www.courtlistener.com/api/rest/v3/positions/52628/,jud,,,,2021-01-11,,,https://www.courtlistener.com/api/rest/v3/courts/washctapp/,washctapp,Court of Appeals of Washington,Court of Appeals of Washington,https://www.courts.wa.gov/appellate_trial_courts/
