person_id,judge_flag,position,status,disclosures_count
1,0,1,non-judge,
2,0,1,non-judge,
3,0,1,non-judge,
4,0,1,non-judge,
5,0,1,non-judge,
6,0,1,non-judge,
7,0,1,non-judge,
8,0,1,non-judge,
9,3,4,judge with multiple positions,
10,0,1,non-judge,
11,0,1,non-judge,
12,0,1,non-judge,
13,0,1,non-judge,
14,0,1,non-judge,
15,0,1,non-judge,
16,0,1,non-judge,
17,0,1,non-judge,
18,0,1,non-judge,
19,0,1,non-judge,
20,0,1,non-judge,
21,0,1,non-judge,
22,0,2,non-judge,
23,0,1,non-judge,
24,0,1,non-judge,
25,0,1,non-judge,
26,3,14,judge with multiple positions,
27,0,1,non-judge,
28,0,1,non-judge,
29,0,1,non-judge,
30,0,1,non-judge,
31,0,1,non-judge,
32,0,1,non-judge,
33,0,1,non-judge,
34,1,2,judge with multiple positions,
35,0,1,non-judge,
36,0,1,non-judge,
37,0,1,non-judge,
38,0,1,non-judge,
39,0,2,non-judge,
40,0,1,non-judge,
41,0,1,non-judge,
42,0,1,non-judge,
43,0,1,non-judge,
44,1,6,judge with multiple positions,5.0
45,1,9,judge with multiple positions,9.0
46,1,2,judge with multiple positions,
47,3,4,judge with multiple positions,
48,1,3,judge with multiple positions,14.0
49,7,10,judge with multiple positions,6.0
50,3,12,judge with multiple positions,
51,1,6,judge with multiple positions,7.0
52,1,8,judge with multiple positions,
53,1,6,judge with multiple positions,
54,3,6,judge with multiple positions,
55,3,11,judge with multiple positions,
56,1,4,judge with multiple positions,
57,2,5,judge with multiple positions,18.0
58,2,5,judge with multiple positions,17.0
59,2,5,judge with multiple positions,
60,1,6,judge with multiple positions,17.0
61,1,8,judge with multiple positions,
62,1,4,judge with multiple positions,
63,2,8,judge with multiple positions,18.0
64,3,8,judge with multiple positions,10.0
65,2,3,judge with multiple positions,
66,3,8,judge with multiple positions,17.0
67,2,7,judge with multiple positions,
68,1,7,judge with multiple positions,
69,1,4,judge with multiple positions,4.0
70,2,12,judge with multiple positions,3.0
71,1,4,judge with multiple positions,18.0
72,2,5,judge with multiple positions,8.0
73,1,9,judge with multiple positions,6.0
74,2,3,judge with multiple positions,
75,1,5,judge with multiple positions,
76,3,9,judge with multiple positions,
77,2,7,judge with multiple positions,19.0
78,1,7,judge with multiple positions,4.0
79,2,7,judge with multiple positions,
80,2,5,judge with multiple positions,
81,2,13,judge with multiple positions,
82,9,15,judge with multiple positions,
83,1,2,judge with multiple positions,
84,2,11,judge with multiple positions,
85,3,8,judge with multiple positions,
86,2,3,judge with multiple positions,6.0
87,1,4,judge with multiple positions,
88,1,5,judge with multiple positions,5.0
89,1,7,judge with multiple positions,18.0
90,9,18,judge with multiple positions,
91,3,6,judge with multiple positions,18.0
92,2,4,judge with multiple positions,17.0
93,3,6,judge with multiple positions,
94,1,3,judge with multiple positions,15.0
95,2,6,judge with multiple positions,16.0
96,1,5,judge with multiple positions,
97,1,8,judge with multiple positions,17.0
98,3,6,judge with multiple positions,7.0
99,2,4,judge with multiple positions,
100,2,5,judge with multiple positions,
101,1,6,judge with multiple positions,13.0
102,1,5,judge with multiple positions,
103,1,5,judge with multiple positions,
104,2,3,judge with multiple positions,
105,1,4,judge with multiple positions,18.0
106,1,6,judge with multiple positions,15.0
107,2,5,judge with multiple positions,16.0
108,4,12,judge with multiple positions,
109,2,6,judge with multiple positions,12.0
110,1,4,judge with multiple positions,13.0
111,3,8,judge with multiple positions,
112,1,10,judge with multiple positions,
113,1,14,judge with multiple positions,9.0
114,2,6,judge with multiple positions,12.0
115,1,4,judge with multiple positions,
116,6,10,judge with multiple positions,16.0
117,1,5,judge with multiple positions,10.0
118,1,6,judge with multiple positions,
119,1,7,judge with multiple positions,17.0
120,1,4,judge with multiple positions,
121,6,7,judge with multiple positions,
122,2,4,judge with multiple positions,8.0
123,1,14,judge with multiple positions,12.0
124,2,4,judge with multiple positions,10.0
125,2,4,judge with multiple positions,15.0
126,4,11,judge with multiple positions,18.0
127,2,13,judge with multiple positions,8.0
128,3,9,judge with multiple positions,1.0
129,1,13,judge with multiple positions,
130,3,9,judge with multiple positions,
131,1,5,judge with multiple positions,
132,2,8,judge with multiple positions,
133,1,3,judge with multiple positions,18.0
134,2,10,judge with multiple positions,13.0
135,1,3,judge with multiple positions,
136,1,13,judge with multiple positions,
137,1,5,judge with multiple positions,17.0
138,1,4,judge with multiple positions,
139,1,3,judge with multiple positions,
140,2,14,judge with multiple positions,
141,4,6,judge with multiple positions,17.0
142,1,5,judge with multiple positions,
143,2,3,judge with multiple positions,14.0
144,2,7,judge with multiple positions,10.0
145,7,13,judge with multiple positions,17.0
146,2,4,judge with multiple positions,9.0
147,2,12,judge with multiple positions,9.0
148,1,5,judge with multiple positions,13.0
149,1,7,judge with multiple positions,
150,7,10,judge with multiple positions,1.0
151,5,7,judge with multiple positions,
152,2,6,judge with multiple positions,18.0
153,1,4,judge with multiple positions,
154,1,3,judge with multiple positions,9.0
155,1,3,judge with multiple positions,
156,2,5,judge with multiple positions,18.0
157,1,3,judge with multiple positions,
158,1,4,judge with multiple positions,
159,1,5,judge with multiple positions,
160,2,7,judge with multiple positions,
161,2,6,judge with multiple positions,
162,1,3,judge with multiple positions,
163,3,5,judge with multiple positions,
164,1,6,judge with multiple positions,17.0
165,1,6,judge with multiple positions,
166,1,4,judge with multiple positions,17.0
167,3,9,judge with multiple positions,
168,1,3,judge with multiple positions,16.0
169,1,13,judge with multiple positions,
170,1,9,judge with multiple positions,16.0
171,2,3,judge with multiple positions,
172,10,17,judge with multiple positions,9.0
173,2,5,judge with multiple positions,
174,1,7,judge with multiple positions,19.0
175,3,9,judge with multiple positions,
176,1,5,judge with multiple positions,
177,1,3,judge with multiple positions,
178,3,6,judge with multiple positions,14.0
179,1,5,judge with multiple positions,
180,2,7,judge with multiple positions,
181,1,6,judge with multiple positions,8.0
182,1,6,judge with multiple positions,
183,1,6,judge with multiple positions,
184,1,8,judge with multiple positions,6.0
185,1,4,judge with multiple positions,15.0
186,1,5,judge with multiple positions,
187,1,12,judge with multiple positions,6.0
188,1,4,judge with multiple positions,
189,2,9,judge with multiple positions,9.0
190,1,6,judge with multiple positions,
191,1,7,judge with multiple positions,18.0
192,1,5,judge with multiple positions,
193,1,13,judge with multiple positions,4.0
194,4,8,judge with multiple positions,8.0
195,1,11,judge with multiple positions,
196,2,4,judge with multiple positions,3.0
197,1,6,judge with multiple positions,6.0
198,2,4,judge with multiple positions,
199,1,3,judge with multiple positions,18.0
200,3,4,judge with multiple positions,16.0
201,1,9,judge with multiple positions,17.0
202,2,3,judge with multiple positions,10.0
203,4,5,judge with multiple positions,18.0
204,1,2,judge with multiple positions,15.0
205,1,6,judge with multiple positions,4.0
206,1,10,judge with multiple positions,
207,2,9,judge with multiple positions,
208,1,7,judge with multiple positions,16.0
209,1,7,judge with multiple positions,
210,3,10,judge with multiple positions,17.0
211,1,8,judge with multiple positions,
212,1,9,judge with multiple positions,
213,1,6,judge with multiple positions,18.0
214,1,4,judge with multiple positions,
215,3,4,judge with multiple positions,15.0
216,2,4,judge with multiple positions,17.0
217,2,7,judge with multiple positions,
218,2,7,judge with multiple positions,
219,1,4,judge with multiple positions,
220,1,8,judge with multiple positions,
221,2,4,judge with multiple positions,
222,2,3,judge with multiple positions,13.0
223,2,7,judge with multiple positions,
224,1,6,judge with multiple positions,
225,1,5,judge with multiple positions,
226,2,3,judge with multiple positions,2.0
227,1,8,judge with multiple positions,
228,4,8,judge with multiple positions,14.0
229,1,8,judge with multiple positions,
230,1,5,judge with multiple positions,
231,1,17,judge with multiple positions,
232,1,4,judge with multiple positions,
233,5,12,judge with multiple positions,6.0
234,1,6,judge with multiple positions,6.0
235,2,4,judge with multiple positions,6.0
236,2,4,judge with multiple positions,17.0
237,1,4,judge with multiple positions,
238,1,8,judge with multiple positions,
239,1,3,judge with multiple positions,
240,1,9,judge with multiple positions,
241,3,4,judge with multiple positions,13.0
242,7,12,judge with multiple positions,
243,2,15,judge with multiple positions,
244,2,7,judge with multiple positions,
245,1,7,judge with multiple positions,11.0
246,5,9,judge with multiple positions,16.0
247,2,3,judge with multiple positions,10.0
248,1,3,judge with multiple positions,
249,3,5,judge with multiple positions,14.0
250,2,3,judge with multiple positions,6.0
251,2,8,judge with multiple positions,
252,2,8,judge with multiple positions,16.0
253,2,13,judge with multiple positions,17.0
254,1,7,judge with multiple positions,14.0
255,1,11,judge with multiple positions,
256,1,7,judge with multiple positions,
257,3,14,judge with multiple positions,10.0
258,1,11,judge with multiple positions,8.0
259,2,5,judge with multiple positions,10.0
260,2,7,judge with multiple positions,17.0
261,1,7,judge with multiple positions,8.0
262,1,3,judge with multiple positions,11.0
263,1,5,judge with multiple positions,17.0
264,1,7,judge with multiple positions,16.0
265,1,5,judge with multiple positions,15.0
266,1,4,judge with multiple positions,
267,3,8,judge with multiple positions,
268,1,7,judge with multiple positions,14.0
269,1,2,judge with multiple positions,
270,1,12,judge with multiple positions,
271,3,6,judge with multiple positions,17.0
272,2,8,judge with multiple positions,16.0
273,2,11,judge with multiple positions,
274,1,5,judge with multiple positions,
275,6,13,judge with multiple positions,6.0
276,1,4,judge with multiple positions,
277,2,4,judge with multiple positions,
278,6,19,judge with multiple positions,
279,2,9,judge with multiple positions,
280,1,3,judge with multiple positions,
281,1,5,judge with multiple positions,4.0
282,1,8,judge with multiple positions,7.0
283,1,9,judge with multiple positions,
284,3,8,judge with multiple positions,2.0
285,2,4,judge with multiple positions,10.0
286,1,7,judge with multiple positions,
287,2,3,judge with multiple positions,14.0
288,2,7,judge with multiple positions,
289,3,9,judge with multiple positions,
290,2,10,judge with multiple positions,
291,4,8,judge with multiple positions,17.0
292,3,6,judge with multiple positions,11.0
293,1,5,judge with multiple positions,
294,3,7,judge with multiple positions,17.0
295,1,7,judge with multiple positions,18.0
296,7,14,judge with multiple positions,
297,2,5,judge with multiple positions,
298,1,7,judge with multiple positions,
299,3,11,judge with multiple positions,
300,1,8,judge with multiple positions,17.0
301,1,7,judge with multiple positions,6.0
302,1,5,judge with multiple positions,
303,2,9,judge with multiple positions,
304,3,10,judge with multiple positions,
305,1,3,judge with multiple positions,11.0
306,2,5,judge with multiple positions,
307,1,5,judge with multiple positions,16.0
308,1,12,judge with multiple positions,18.0
309,1,4,judge with multiple positions,
310,3,5,judge with multiple positions,7.0
311,1,3,judge with multiple positions,
312,2,8,judge with multiple positions,
313,2,6,judge with multiple positions,10.0
314,2,7,judge with multiple positions,
315,2,7,judge with multiple positions,
316,2,12,judge with multiple positions,
317,1,16,judge with multiple positions,18.0
318,2,8,judge with multiple positions,5.0
319,2,6,judge with multiple positions,
320,1,10,judge with multiple positions,6.0
