person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
1,0,1,non-judge,,George,,Washington,f,w,,,,,
2,0,1,non-judge,,John,,Adams,f,w,,,,,
3,0,1,non-judge,,Thomas,,Jefferson,j,w,,,,,
4,0,1,non-judge,,James,,Madison,j,w,,,,,
5,0,1,non-judge,,James,,Monroe,j,w,,,,,
6,0,1,non-judge,,John,Quincy,Adams,j,w,,,,,
7,0,1,non-judge,,Andrew,,Jackson,d,w,,,,,
8,0,1,non-judge,,Martin,Van,Buren,d,w,,,,,
9,3,4,judge with multiple positions,,William,Henry,Harrison,w,w,,2001-12-31,2010-11-03,"California Superior Court, Solano County","Superior Court of California, County of Solano"
10,0,1,non-judge,,John,,Tyler,w,w,,,,,
11,0,1,non-judge,,James,K.,Polk,d,w,,,,,
12,0,1,non-judge,,Zachary,,Taylor,w,w,,,,,
13,0,1,non-judge,,Millard,,Fillmore,w,w,,,,,
14,0,1,non-judge,,Franklin,,Pierce,d,w,,,,,
15,0,1,non-judge,,James,,Buchanan,d,w,,,,,
16,0,1,non-judge,,Abraham,,Lincoln,r,w,,,,,
17,0,1,non-judge,,Andrew,,Johnson,u,w,,,,,
18,0,1,non-judge,,Ulysses,S.,Grant,r,w,,,,,
19,0,1,non-judge,,Rutherford,B.,Hayes,r,w,,,,,
20,0,1,non-judge,,James,A.,Garfield,r,w,,,,,
21,0,1,non-judge,,Chester,,Arthur,r,w,,,,,
22,0,2,non-judge,,Grover,,Cleveland,d,w,,,,,
23,0,1,non-judge,,Benjamin,,Harrison,r,w,,,,,
24,0,1,non-judge,,William,,McKinley,r,w,,,,,
25,0,1,non-judge,,Theodore,,Roosevelt,r,w,,,,,
26,3,14,judge with multiple positions,,William,Howard,Taft,r,w,1921-06-30,1921-06-30,1930-02-03,Supreme Court,Supreme Court of the United States
27,0,1,non-judge,,Woodrow,,Wilson,d,w,,,,,
28,0,1,non-judge,,Warren,G.,Harding,r,w,,,,,
29,0,1,non-judge,,Calvin,,Coolidge,r,w,,,,,
30,0,1,non-judge,,Herbert,,Hoover,r,w,,,,,
31,0,1,non-judge,,Franklin,D.,Roosevelt,d,w,,,,,
32,0,1,non-judge,,Harry,S.,Truman,d,w,,,,,
33,0,1,non-judge,,Dwight,,Eisenhower,r,w,,,,,
34,1,2,judge with multiple positions,,John,F.,Kennedy,d,w,,1969-12-19,1985-12-19,"California Superior Court, Santa Clara County","Superior Court of California, County of Santa Clara"
35,0,1,non-judge,,Lyndon,B.,Johnson,d,w,,,,,
36,0,1,non-judge,,Richard,,Nixon,r,w,,,,,
37,0,1,non-judge,,Gerald,,Ford,r,w,,,,,
38,0,1,non-judge,,Jimmy,,Carter,d,w,,,,,
39,0,2,non-judge,,Ronald,,Reagan,r,w,,,,,
40,0,1,non-judge,,George,H.W.,Bush,r,w,,,,,
41,0,1,non-judge,,William,Jefferson,Clinton,d,w,,,,,
42,0,1,non-judge,,George,W.,Bush,r,w,,,,,
43,0,1,non-judge,,Barack,Hussein,Obama,d,"w,b",,,,,
44,1,6,judge with multiple positions,5.0,Leslie,Joyce,Abrams,d,b,2014-03-11,2014-11-20,,M.D. Georgia,"District Court, M.D. Georgia"
45,1,9,judge with multiple positions,9.0,Ronnie,,Abrams,d,w,2011-07-28,2012-03-23,,S.D. New York,"District Court, S.D. New York"
46,1,2,judge with multiple positions,,Matthew,T.,Abruzzo,d,w,1936-02-03,1936-02-15,1971-05-28,E.D. New York,"District Court, E.D. New York"
