person_id,count
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,4
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,1
24,1
25,1
26,14
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,6
45,9
46,2
47,4
48,3
49,10
50,12
51,6
52,8
53,6
54,6
55,11
56,4
57,5
58,5
59,5
60,6
61,8
62,4
63,8
64,8
65,3
66,8
67,7
68,7
69,4
70,12
71,4
72,5
73,9
74,3
75,5
76,9
77,7
78,7
79,7
80,5
81,13
82,15
83,2
84,11
85,8
86,3
87,4
88,5
89,7
90,18
91,6
92,4
93,6
94,3
95,6
96,5
97,8
98,6
99,4
100,5
101,6
102,5
103,5
104,3
105,4
106,6
107,5
108,12
109,6
110,4
111,8
112,10
113,14
114,6
115,4
116,10
117,5
118,6
119,7
120,4
121,7
122,4
123,14
124,4
125,4
126,11
127,13
128,9
129,13
130,9
131,5
132,8
133,3
134,10
135,3
136,13
137,5
138,4
139,3
140,14
141,6
142,5
143,3
144,7
145,13
146,4
147,12
148,5
149,7
150,10
151,7
152,6
153,4
154,3
155,3
156,5
157,3
158,4
159,5
160,7
161,6
162,3
163,5
164,6
165,6
166,4
167,9
168,3
169,13
170,9
171,3
172,17
173,5
174,7
175,9
176,5
177,3
178,6
179,5
180,7
181,6
182,6
183,6
184,8
185,4
186,5
187,12
188,4
189,9
190,6
191,7
192,5
193,13
194,8
195,11
196,4
197,6
198,4
199,3
200,4
201,9
202,3
203,5
204,2
205,6
206,10
207,9
208,7
209,7
210,10
211,8
212,9
213,6
214,4
215,4
216,4
217,7
218,7
219,4
220,8
221,4
222,3
223,7
224,6
225,5
226,3
227,8
228,8
229,8
230,5
231,17
232,4
233,12
234,6
235,4
236,4
237,4
238,8
239,3
240,9
241,4
242,12
243,15
244,7
245,7
246,9
247,3
248,3
249,5
250,3
251,8
252,8
253,13
254,7
255,11
256,7
257,14
258,11
259,5
260,7
261,7
262,3
263,5
264,7
265,5
266,4
267,8
268,7
269,2
270,12
271,6
272,8
273,11
274,5
275,13
276,4
277,4
278,19
279,9
280,3
281,5
282,8
283,9
284,8
285,4
286,7
287,3
288,7
289,9
290,10
291,8
292,6
293,5
294,7
295,7
296,14
297,5
298,7
299,11
300,8
301,7
302,5
303,9
304,10
305,3
306,5
307,5
308,12
309,4
310,5
311,3
312,8
313,6
314,7
315,7
316,12
317,16
318,8
319,6
320,10
321,8
322,4
323,5
324,2
325,7
326,8
327,5
328,9
329,6
330,6
331,7
332,7
333,10
334,9
335,11
336,8
337,5
338,7
339,8
340,5
341,4
342,7
343,6
344,10
345,7
346,7
347,7
348,8
349,9
350,4
351,4
352,6
353,7
354,9
355,4
356,4
357,4
358,3
359,5
360,5
361,1
362,2
363,6
364,4
365,8
366,5
367,3
368,5
369,6
370,6
371,8
372,4
373,9
374,3
375,6
376,2
377,12
378,5
379,8
380,3
381,3
382,4
383,10
384,13
385,7
386,10
387,5
388,4
389,3
390,6
391,8
392,7
393,4
394,7
395,10
396,4
397,7
398,6
399,7
400,9
401,5
402,11
403,8
404,5
405,11
406,6
407,6
408,6
409,6
410,2
411,8
412,4
413,4
414,2
415,5
416,2
417,4
418,3
419,8
420,3
421,9
422,15
423,3
424,5
425,10
426,7
427,7
428,7
429,11
430,6
431,3
432,4
433,7
434,3
435,4
436,3
437,4
438,8
439,1
440,4
441,8
442,2
443,2
444,4
445,7
446,5
447,9
448,9
449,2
450,5
451,7
452,10
453,6
454,7
455,3
456,4
457,5
458,9
459,4
460,8
461,3
462,6
463,8
464,6
465,9
466,4
467,4
468,5
469,6
470,8
471,4
472,5
473,3
474,4
475,3
476,8
477,5
478,7
479,10
480,2
481,8
482,4
483,6
484,4
485,3
486,2
487,7
488,9
489,5
490,2
491,5
492,8
493,7
494,12
495,9
496,5
497,7
498,4
499,6
500,7
501,6
502,11
503,4
504,2
505,7
506,5
507,4
508,8
509,8
510,6
511,3
512,9
513,7
514,5
515,3
516,5
517,8
518,4
519,8
520,8
521,10
522,2
523,5
524,4
525,8
526,6
527,5
528,12
529,14
530,8
531,5
532,13
533,5
534,5
535,11
536,8
537,7
538,5
539,3
540,8
541,4
542,11
543,4
544,4
545,10
546,5
547,8
548,4
549,11
550,5
551,9
552,9
553,9
554,8
555,8
556,5
557,10
558,8
559,6
560,11
561,5
562,8
563,6
564,7
565,6
566,4
567,3
568,6
569,9
570,8
571,11
572,6
573,1
574,6
575,4
576,4
577,2
578,8
579,10
580,6
581,9
582,5
583,7
584,4
585,5
586,3
587,5
588,6
589,4
590,6
591,6
592,6
593,10
594,3
595,6
596,7
597,11
598,6
599,7
600,11
601,5
