,person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race
0,1,0,1,non-judge,,George,,Washington,f,w
1,2,0,1,non-judge,,John,,Adams,f,w
2,3,0,1,non-judge,,Thomas,,Jefferson,j,w
3,4,0,1,non-judge,,James,,Madison,j,w
4,5,0,1,non-judge,,James,,Monroe,j,w
5,6,0,1,non-judge,,John,Quincy,Adams,j,w
6,7,0,1,non-judge,,Andrew,,Jackson,d,w
7,8,0,1,non-judge,,Martin,Van,Buren,d,w
8,9,3,4,judge with multiple positions,,William,Henry,Harrison,w,w
9,10,0,1,non-judge,,John,,Tyler,w,w
10,11,0,1,non-judge,,James,K.,Polk,d,w
11,12,0,1,non-judge,,Zachary,,Taylor,w,w
12,13,0,1,non-judge,,Millard,,Fillmore,w,w
13,14,0,1,non-judge,,Franklin,,Pierce,d,w
14,15,0,1,non-judge,,James,,Buchanan,d,w
15,16,0,1,non-judge,,Abraham,,Lincoln,r,w
16,17,0,1,non-judge,,Andrew,,Johnson,u,w
17,18,0,1,non-judge,,Ulysses,S.,Grant,r,w
18,19,0,1,non-judge,,Rutherford,B.,Hayes,r,w
19,20,0,1,non-judge,,James,A.,Garfield,r,w
20,21,0,1,non-judge,,Chester,,Arthur,r,w
21,22,0,2,non-judge,,Grover,,Cleveland,d,w
22,23,0,1,non-judge,,Benjamin,,Harrison,r,w
23,24,0,1,non-judge,,William,,McKinley,r,w
24,25,0,1,non-judge,,Theodore,,Roosevelt,r,w
25,26,3,14,judge with multiple positions,,William,Howard,Taft,r,w
26,27,0,1,non-judge,,Woodrow,,Wilson,d,w
27,28,0,1,non-judge,,Warren,G.,Harding,r,w
28,29,0,1,non-judge,,Calvin,,Coolidge,r,w
29,30,0,1,non-judge,,Herbert,,Hoover,r,w
30,31,0,1,non-judge,,Franklin,D.,Roosevelt,d,w
31,32,0,1,non-judge,,Harry,S.,Truman,d,w
32,33,0,1,non-judge,,Dwight,,Eisenhower,r,w
33,34,1,2,judge with multiple positions,,John,F.,Kennedy,d,w
34,35,0,1,non-judge,,Lyndon,B.,Johnson,d,w
35,36,0,1,non-judge,,Richard,,Nixon,r,w
36,37,0,1,non-judge,,Gerald,,Ford,r,w
37,38,0,1,non-judge,,Jimmy,,Carter,d,w
38,39,0,2,non-judge,,Ronald,,Reagan,r,w
39,40,0,1,non-judge,,George,H.W.,Bush,r,w
40,41,0,1,non-judge,,William,Jefferson,Clinton,d,w
41,42,0,1,non-judge,,George,W.,Bush,r,w
42,43,0,1,non-judge,,Barack,Hussein,Obama,d,"w,b"
