party_name,investment,levenshtein_score,jaro_winkler_score,average_score
aaron transfer storage,ann taylor stores,0.5,0.7492513368983956,0.6246256684491978
abbott laboratories,abbott labs,0.5789473684210527,0.9157894736842105,0.7473684210526316
abels,albertson,0.4444444444444444,0.8066666666666666,0.6255555555555555
abm janitorial servicesnorth central,american airlines grp aal,0.36111111111111116,0.7382424242424241,0.5496767676767677
academia sagrado corazon,american express common,0.375,0.6701690821256038,0.5225845410628018
accor north america,a growth fd of america,0.5,0.7413875598086124,0.6206937799043062
ace american ins,ace cayman,0.4375,0.8702777777777777,0.6538888888888889
acevedo,aceltd ord,0.5,0.8166666666666668,0.6583333333333334
aclu nebraska found,albertson,0.368421052631579,0.6866471734892787,0.5275341130604289
acuity a mutual insurance,aim weingarten mutual fund,0.2692307692307693,0.7367044534412955,0.5029676113360324
ad connor,att common x,0.41666666666666663,0.6666666666666666,0.5416666666666666
adair,avaya,0.4,0.6,0.5
adams,amedisys,0.375,0.6833333333333332,0.5291666666666666
adams street joint venture,archstone smith trust,0.3076923076923077,0.7331286360698126,0.5204104718810602
adapt of illinois,ala wtr poll,0.23529411764705888,0.7504901960784313,0.49289215686274507
adcom group,am int group,0.5833333333333333,0.8181818181818182,0.7007575757575757
addison insurance marketing,allison transmission,0.40740740740740744,0.6442680776014109,0.5258377425044092
adena regional medical center,amenican electric power,0.3448275862068966,0.7496409689891895,0.547234277598043
adirondack medical center,american elec power,0.36,0.7508815789473684,0.5554407894736841
administrative committee of the walmart stores,as trustee of trust fed strips,0.32608695652173914,0.6489130434782608,0.4875
adobe systems,adobe systems,1.0,1.0,1.0
adrian,altria,0.5,0.7999999999999999,0.6499999999999999
adriansilva,artisan midcap,0.4285714285714286,0.7521103896103896,0.5903409090909091
adt security services,att wireless savio,0.33333333333333337,0.6957671957671958,0.5145502645502646
advance stores,advance auto parts,0.6666666666666667,0.9047619047619048,0.7857142857142858
advanced generic,advance auto parts,0.4444444444444444,0.6875,0.5659722222222222
advanced microfabrication equipment shanghai,advance auto parts,0.34090909090909094,0.8373737373737373,0.5891414141414142
adventist health systemwest,adobe systems,0.40740740740740744,0.6602779936113269,0.5338427005093671
advocacy center for persons with disabilities,amencan electric power aep,0.28888888888888886,0.6722869722869723,0.4805879305879306
aecon group,am int group,0.6666666666666667,0.7806818181818183,0.7236742424242425
aegon usa,ageniusagen,0.4545454545454546,0.7813852813852813,0.6179653679653679
aetna life ins,att wireless,0.4285714285714286,0.6626984126984127,0.5456349206349207
aetna life insurance,axaequitable life insurance annuity contractira h,0.36734693877551017,0.6693877551020408,0.5183673469387755
aetna us healthcare,amencu prime share,0.368421052631579,0.7394736842105264,0.5539473684210527
ag america fcbwestern farm credit bank,american express credit,0.42105263157894735,0.6486270022883295,0.5348398169336384
agenzia tripcovich srl,american tech grp,0.36363636363636365,0.7308250572956455,0.5472307104660046
agm california,amazon,0.3571428571428571,0.7571428571428572,0.5571428571428572
agosto,att stock,0.4444444444444444,0.6203703703703703,0.5324074074074074
agriprocessors,agere sys,0.4285714285714286,0.6428571428571428,0.5357142857142857
aguinaga,ageniusagen,0.4545454545454546,0.8316017316017316,0.6430735930735931
ahepa nathan hale senior center,alpha nat res,0.29032258064516125,0.756575682382134,0.5234491315136476
aig marketing,ameritrade holding,0.33333333333333337,0.7553613053613055,0.5443473193473194
aimsi technologies,allegheny technologies,0.6363636363636364,0.6856661856661858,0.661014911014911
airtel wireless,att wireless,0.7333333333333334,0.8131818181818181,0.7732575757575757
